"","m.id","cohesion"
"1","2850",0.111111111111111
"2","2989",0.733333333333333
"3","3091",0.833333333333333
"4","3104",1
"5","3276",1
"6","3346",1
"7","3415",1
"8","3430",0.5
"9","3448",1
"10","3467",1
"11","3538",0.933333333333333
"12","3550",1
"13","3617",1
"14","3625",1
"15","3641",1
"16","3652",1
"17","3788",1
"18","3812",1
"19","3885",1
"20","3943",0.928571428571429
"21","3954",1
"22","3978",1
"23","3996",0.857142857142857
"24","4065",1
"25","4076",1
"26","4101",0.111111111111111
"27","4148",1
"28","4201",0.888888888888889
"29","4214",1
"30","4218",1
"31","4219",1
"32","4250",0.545454545454545
"33","4259",1
"34","4263",1
"35","4287",1
"36","4294",1
"37","4304",1
"38","4307",1
"39","4315",1
"40","4330",0.944444444444444
"41","4338",1
"42","4339",0.9375
"43","4377",1
"44","4382",1
"45","4399",1
"46","4418",1
"47","4433",1
"48","4435",1
"49","4438",1
"50","4453",1
"51","4459",1
"52","4461",0.941176470588235
"53","4476",0.833333333333333
"54","4486",1
"55","4492",1
"56","4497",1
"57","4540",1
"58","4543",1
"59","4548",1
"60","4553",0.6
"61","4577",1
"62","4578",1
"63","4579",1
"64","4588",1
"65","4592",1
"66","4594",1
"67","4614",1
"68","4622",1
"69","4636",1
"70","4638",1
"71","4642",1
"72","4705",1
"73","4706",0.833333333333333
"74","4728",1
"75","4732",1
"76","4734",1
"77","4746",1
"78","4755",1
"79","4756",1
"80","4762",1
"81","4774",1
"82","4779",1
"83","4783",1
"84","4793",1
"85","4804",1
"86","4805",1
"87","4806",1
"88","4811",0.75
"89","4812",1
"90","4822",1
"91","4834",1
"92","4851",1
"93","4853",0.941176470588235
"94","4859",0.894736842105263
"95","4871",1
"96","4872",1
"97","4884",1
"98","4893",1
"99","4905",1
"100","4911",1
"101","4929",1
"102","4935",1
"103","4937",0.888888888888889
"104","4943",1
"105","4946",1
"106","4949",1
"107","4958",1
"108","4964",1
"109","4966",1
"110","4968",0.904761904761905
"111","4969",1
"112","4976",1
"113","4977",0.75
"114","4983",0.8
"115","5015",0.944444444444444
"116","5016",1
"117","5017",1
"118","5025",1
"119","5033",1
"120","5034",0.909090909090909
"121","5037",1
"122","5038",1
"123","5039",0.3
"124","5044",1
"125","5050",1
"126","5053",1
"127","5056",0.833333333333333
"128","5057",1
"129","5060",1
"130","5071",1
"131","5072",1
"132","5077",0.956521739130435
"133","5080",1
"134","5083",1
"135","5084",1
"136","5085",1
"137","5086",0.933333333333333
"138","5087",1
"139","5093",1
"140","5096",0.947368421052632
"141","5103",1
"142","5113",0.941176470588235
"143","5114",1
"144","5115",1
"145","5118",0.928571428571429
"146","5119",1
"147","5122",1
"148","5130",0.966666666666667
"149","5138",1
"150","5141",1
"151","5150",1
"152","5153",1
"153","5154",1
"154","5159",1
"155","5160",1
"156","5161",1
"157","5172",0.875
"158","5173",1
"159","5177",1
"160","5184",1
"161","5185",0.923076923076923
"162","5186",1
"163","5194",1
"164","5201",1
"165","5203",1
"166","5204",1
"167","5207",1
"168","5212",1
"169","5213",1
"170","5214",1
"171","5216",1
"172","5218",1
"173","5219",1
"174","5236",1
"175","5237",1
"176","5246",1
"177","5253",0.944444444444444
"178","5255",1
"179","5259",1
"180","5261",0.333333333333333
"181","5263",1
"182","5269",1
"183","5277",1
"184","5286",1
