"","m.id","cohesion"
"1","2989",0.666666666666667
"2","3104",1
"3","3550",1
"4","3652",0.818181818181818
"5","4148",1
"6","4307",1
"7","4377",0.348837209302326
"8","4459",0.857142857142857
"9","4464",1
"10","4576",0.875
"11","4594",0.909090909090909
"12","4638",1
"13","4705",1
"14","4732",1
"15","4755",1
"16","4783",1
"17","4804",0.526315789473684
"18","4806",1
"19","4851",0.846153846153846
"20","4885",0.564102564102564
"21","4892",0.958333333333333
"22","4893",0.880597014925373
"23","4929",0.476190476190476
"24","4962",0.428571428571429
"25","4968",0.428571428571429
"26","4992",0.911764705882353
"27","5024",0.909090909090909
"28","5038",0.684210526315789
"29","5059",0.9375
"30","5071",0.521739130434783
"31","5085",1
"32","5087",1
"33","5093",0.6
"34","5129",1
"35","5137",0.476190476190476
"36","5150",0.625
"37","5153",0.724137931034483
"38","5160",0.45
"39","5172",1
"40","5177",0.818181818181818
"41","5186",1
"42","5194",0.769230769230769
"43","5196",1
"44","5201",1
"45","5203",0.941176470588235
"46","5207",0.483870967741935
"47","5236",1
"48","5255",1
"49","5286",0.533333333333333
"50","5318",0.435897435897436
"51","5354",0.545454545454545
"52","5394",0.555555555555556
"53","5402",0.848484848484849
"54","5403",0.394736842105263
"55","5419",0.96
"56","5427",0.575757575757576
"57","5457",1
"58","5459",0.828571428571429
"59","5541",0.375
"60","5543",0.958333333333333
"61","5558",0.428571428571429
"62","5561",0.851063829787234
"63","5604",0.5
"64","5605",0.854166666666667
"65","5623",0.933333333333333
"66","5630",0.557692307692308
"67","5641",1
"68","5644",1
"69","5665",0.875
"70","5669",0.821428571428571
"71","5670",0.869565217391304
"72","5676",1
"73","5681",0.833333333333333
"74","5688",0.85
"75","5691",0.849056603773585
"76","5693",1
"77","5703",0.80952380952381
"78","5709",0.952380952380952
"79","5716",1
"80","5718",0.791666666666667
"81","5719",0.580645161290323
"82","5733",0.769230769230769
"83","5736",0.684210526315789
"84","5738",1
"85","5746",0.34
"86","5747",1
"87","5750",1
"88","5753",0.8
"89","5768",0.714285714285714
"90","5771",1
"91","5779",0.5
"92","5780",0.378378378378378
"93","5786",0.891304347826087
"94","5788",1
"95","5795",1
"96","5814",1
"97","5823",0.866666666666667
"98","5825",0.625
"99","5830",0.333333333333333
"100","5833",1
"101","5837",1
"102","5844",1
"103","5850",0.5
"104","5853",1
"105","5862",1
"106","5865",0.705882352941177
"107","5869",0.789473684210526
"108","5872",1
"109","5878",0.96078431372549
"110","5882",0.727272727272727
"111","5900",0.346938775510204
"112","5909",0.606060606060606
