"","m.id","cohesion"
"1","602",0.928571428571429
"2","899",0.894736842105263
"3","951",0.888888888888889
"4","1069",1
"5","1115",1
"6","1222",1
"7","1244",0.826086956521739
"8","1291",1
"9","1344",0.888888888888889
"10","1406",0.958333333333333
"11","1417",0.804878048780488
"12","1427",0.785714285714286
"13","1452",0.736842105263158
"14","1584",1
"15","1591",0.785714285714286
"16","1606",1
"17","1636",0.708333333333333
"18","1712",0.524590163934426
"19","1770",1
"20","1788",1
"21","1803",0.666666666666667
"22","1809",0.903225806451613
"23","1843",1
"24","1853",1
"25","1885",0.934426229508197
"26","1918",1
"27","1921",0.222222222222222
"28","2016",0.933333333333333
"29","2026",0.592592592592593
"30","2028",1
"31","2053",1
"32","2057",0.875
"33","2059",1
"34","2070",1
"35","2081",0.947368421052632
"36","2099",0.962962962962963
"37","2114",1
"38","2119",1
"39","2122",0.76
"40","2131",0.972222222222222
"41","2139",0.6
"42","2173",0.727272727272727
"43","2178",0.86
"44","2194",0.5
"45","2217",0.789473684210526
"46","2252",0.557692307692308
"47","2275",0.846153846153846
"48","2282",0.731707317073171
"49","2286",1
"50","2288",0.916666666666667
"51","2302",0.923076923076923
"52","2319",1
"53","2322",0.909090909090909
"54","2345",1
"55","2381",1
"56","2399",0.607843137254902
"57","2412",1
"58","2418",1
"59","2432",1
"60","2441",0.894736842105263
"61","2448",1
"62","2450",0.952380952380952
"63","2460",1
"64","2466",1
"65","2476",0.897435897435897
"66","2477",0.911764705882353
"67","2481",0.944444444444444
"68","2499",0.944444444444444
"69","2508",0.954545454545455
"70","2516",1
"71","2541",1
"72","2543",0.571428571428571
"73","2548",0.655172413793103
"74","2551",0.596491228070175
"75","2567",0.941176470588235
"76","2569",1
"77","2577",0.722222222222222
"78","2586",0.785714285714286
"79","2595",0.885714285714286
"80","2607",1
"81","2612",1
"82","2616",1
"83","2622",1
"84","2623",0.882352941176471
"85","2656",0.926829268292683
"86","2666",0.957446808510638
"87","2668",0.941176470588235
"88","2669",0.928571428571429
"89","2671",0.5
"90","2690",0.935483870967742
"91","2694",0.769230769230769
"92","2700",0.928571428571429
"93","2701",0.947368421052632
"94","2703",0.821428571428571
"95","2719",1
"96","2724",0.96875
"97","2726",1
"98","2731",1
"99","2738",1
"100","2752",0.777777777777778
"101","2763",0.777777777777778
"102","2769",0.869565217391304
"103","2775",1
"104","2781",0.85
"105","2789",0.702702702702703
"106","2796",0.941176470588235
"107","2810",0.444444444444444
"108","2816",0.724137931034483
"109","2824",1
"110","2832",0.966666666666667
"111","2834",0.884615384615385
"112","2837",1
"113","2838",1
"114","2842",0.419354838709677
"115","2845",0.853658536585366
"116","2848",0.8
"117","2850",0.62962962962963
"118","2851",1
"119","2853",0.952380952380952
"120","2856",0.333333333333333
"121","2857",1
"122","2861",0.923076923076923
"123","2862",0.621621621621622
"124","2863",0.653846153846154
"125","2864",0.384615384615385
"126","2866",0.962962962962963
"127","2871",0.818181818181818
"128","2873",0.774193548387097
"129","2878",1
"130","2880",0.646153846153846
"131","2883",0.925925925925926
"132","2885",0.904761904761905
"133","2888",0.956521739130435
"134","2894",1
"135","2895",0.875
"136","2899",0.923076923076923
"137","2900",1
"138","2910",0.958333333333333
"139","2911",0.764705882352941
"140","2912",0.805555555555556
"141","2915",0.702702702702703
"142","2917",0.714285714285714
"143","2918",1
"144","2921",0.909090909090909
"145","2923",0.580645161290323
"146","2927",0.925925925925926
"147","2930",0.6
"148","2931",0.72972972972973
"149","2932",0.944444444444444
"150","2934",0.806451612903226
"151","2942",0.875
"152","2943",1
"153","2948",0.125
"154","2953",0.8
"155","2956",0.954545454545455
"156","2963",0.787878787878788
"157","2964",0.84
"158","2965",0.678571428571429
"159","2966",0.8
"160","2969",0.981132075471698
"161","2976",0.852941176470588
"162","2980",1
"163","2981",1
"164","2983",0.642857142857143
"165","2986",0.923076923076923
"166","2987",0.68
"167","2988",0.894736842105263
"168","2989",1
"169","2990",0.9
"170","2991",0.954545454545455
"171","2992",0.923076923076923
"172","2993",0.96551724137931
"173","2997",0.9375
"174","2999",1
"175","3001",0.80952380952381
"176","3002",0.803921568627451
"177","3003",0.911764705882353
"178","3004",0.967741935483871
"179","3006",1
"180","3007",0.975
"181","3010",0.782608695652174
"182","3012",0.909090909090909
"183","3013",1
"184","3014",0.764705882352941
"185","3018",0.966666666666667
"186","3021",0.92
"187","3022",0.939393939393939
"188","3024",0.657142857142857
"189","3025",0.923076923076923
"190","3030",0.980769230769231
"191","3034",1
"192","3041",0.648648648648649
"193","3043",0.962962962962963
"194","3044",0.975609756097561
"195","3046",0.375
"196","3047",0.931034482758621
"197","3048",0.645833333333333
"198","3056",0.982142857142857
"199","3057",1
"200","3058",0.814814814814815
"201","3059",0.894736842105263
"202","3060",0.5
"203","3061",1
"204","3062",0.838709677419355
"205","3065",0.904761904761905
"206","3067",0.782608695652174
"207","3074",0.666666666666667
"208","3082",0.964285714285714
"209","3084",0.795454545454545
"210","3087",1
"211","3089",1
"212","3096",1
"213","3099",0.815789473684211
"214","3107",1
"215","3111",0.888888888888889
"216","3118",0.517241379310345
"217","3126",1
"218","3127",0.954545454545455
"219","3129",0.777777777777778
"220","3130",0.848484848484849
"221","3131",0.681818181818182
"222","3134",0.982142857142857
"223","3135",1
"224","3137",1
"225","3141",0.909090909090909
"226","3146",0.948717948717949
"227","3147",0.958333333333333
"228","3151",0.892857142857143
"229","3152",0.573529411764706
"230","3153",0.829268292682927
"231","3156",1
"232","3158",0.681818181818182
"233","3160",0.828571428571429
"234","3161",0.608695652173913
"235","3162",0.92156862745098
"236","3164",0.666666666666667
"237","3168",0.523809523809524
"238","3170",0.785714285714286
"239","3171",1
"240","3174",0.64
"241","3175",0.764705882352941
"242","3177",0.9
"243","3179",0.967741935483871
"244","3180",1
"245","3195",0.666666666666667
"246","3197",0.964285714285714
"247","3198",0.705882352941177
"248","3203",0.888888888888889
"249","3206",0.822222222222222
"250","3207",0.857142857142857
"251","3209",0.758620689655172
"252","3210",0.773584905660377
"253","3212",0.695652173913043
"254","3216",0.888888888888889
"255","3224",1
"256","3227",0.652173913043478
"257","3229",1
"258","3237",0.952380952380952
"259","3238",0.634615384615385
"260","3240",0.3125
"261","3243",0.952380952380952
"262","3247",0.695652173913043
"263","3248",1
"264","3250",1
"265","3252",0.818181818181818
"266","3257",0.758620689655172
