,name,match,in_commons,returns_name
234,marquess of lansdowne,FALSE,FALSE,
235,thomas spring rice,FALSE,FALSE,
236,viscount dudley and ward[a],FALSE,TRUE,john william ward
237,duke of clarence,FALSE,FALSE,
238,earl of carlisle,FALSE,TRUE,george howard visct morpeth
239,lord bexley,FALSE,TRUE,nicholas vanisttart
240,marquess of anglesey,FALSE,TRUE,henry william paget lord paget
241,edward owen,FALSE,TRUE,edward william campbell rich owen
242,marquess of lansdowne[b],FALSE,FALSE,
243,duke of portland[c],FALSE,TRUE,lord william henry cavendish bentinck
244,william lamb,TRUE,,
245,james scarlett,TRUE,,
246,nicolas conyngham tindal,FALSE,TRUE,nicholas conyngham tindal
247,james abercromby,TRUE,,
248,william rae,FALSE,FALSE,
249,john doherty,TRUE,,
250,duke of devonshire,FALSE,FALSE,
251,samuel hulse,FALSE,TRUE,charles hulse bt
252,duke of leeds,FALSE,FALSE,
253,viscount hereford,FALSE,FALSE,
254,george bankes,TRUE,,
255,william yates peel,TRUE,,
256,earl of dudley,FALSE,TRUE,john william ward
257,earl of aberdeen,FALSE,FALSE,
258,lord dunglass,FALSE,FALSE,
259,horace twiss,TRUE,,
260,thomas peregrine courtenay,TRUE,,
261,john stuart-wortley,FALSE,TRUE,john stuart wortley
262,earl of brecknock,FALSE,TRUE,george charles pratt earl of brecknock
263,charles ross,TRUE,,
264,earl of rosslyn,FALSE,FALSE,
265,lord edward somerset,FALSE,TRUE,lord robert edward henry somerset
266,herbert taylor,TRUE,,
267,henry fane,TRUE,,
268,frederick william french,FALSE,FALSE,
269,duke of northumberland,FALSE,TRUE,hugh percy earl percy
270,duke of manchester,FALSE,FALSE,
271,edward burtenshaw sugden,TRUE,,
272,marquess of conyngham,FALSE,FALSE,
273,earl of belfast,FALSE,FALSE,
274,lord george thomas beresford,FALSE,FALSE,
275,earl grey,FALSE,TRUE,charles grey visct howick
276,viscount melbourne,FALSE,TRUE,william lamb
277,viscount althorp[b],FALSE,TRUE,john charles spencer visct althorp
278,thomas spring-rice,FALSE,FALSE,
279,francis baring,TRUE,,
280,edward ellice,TRUE,,
281,charles wood,TRUE,,
282,lord nugent,TRUE,,
283,robert vernon smith,TRUE,,
284,george ponsonby,TRUE,,
285,thomas francis kennedy,FALSE,FALSE,
286,robert graham,FALSE,FALSE,
287,george byng,TRUE,,
288,lord brougham and vaux,FALSE,TRUE,henry peter brougham
289,lord durham[c],FALSE,TRUE,john george lambton
290,earl of ripon,FALSE,TRUE,frederick john robinson
291,viscount duncannon,TRUE,,
292,george lamb,TRUE,,
293,edward stanley,FALSE,TRUE,edward john stanley
294,viscount fordwich,TRUE,TRUE,george augustus frederick cowper lord fordwich
295,edward smith-stanley,FALSE,TRUE,edward smith stanley lord stanley
296,john shaw-lefevre,FALSE,FALSE,
297,george grey,FALSE,FALSE,
298,james graham,TRUE,,
299,george elliot,TRUE,,
300,henry labouchere,TRUE,,
301,viscount sandon,TRUE,,
302,thomas hyde villiers,TRUE,,
303,thomas babington macaulay,TRUE,,
304,robert gordon[d],FALSE,TRUE,robert gordon
305,james alexander stewart-mackenzie[d],FALSE,FALSE,
306,edward smith-stanley[e],FALSE,TRUE,edward smith stanley lord stanley
307,john hobhouse,FALSE,TRUE,john cam hobhouse
308,edward littleton,FALSE,TRUE,edward john littleton
309,lord john russell[f],FALSE,TRUE,lord john russell
310,charles poulett thomson,FALSE,TRUE,charles edward poulett thomson
311,henry parnell,FALSE,FALSE,
312,edward ellice[g],FALSE,TRUE,edward ellice
313,george agar-ellis,FALSE,TRUE,george james welbore agar ellis
314,james kempt,FALSE,FALSE,
315,william leader maberly,TRUE,,
316,charles richard fox,TRUE,,
317,charles tennyson,TRUE,,
318,andrew leith hay,FALSE,FALSE,
319,henry duncan,FALSE,FALSE,
320,thomas denman,TRUE,,
321,william horne,TRUE,,
322,john campbell,FALSE,TRUE,john campbell ii
323,charles pepys,FALSE,FALSE,
324,robert rolfe,FALSE,TRUE,robert monsey rolfe
325,robert grant,TRUE,,
326,robert cutlar fergusson,FALSE,FALSE,
327,francis jeffrey,TRUE,,
328,john murray,TRUE,,
329,henry cockburn,FALSE,FALSE,
330,andrew skene,FALSE,FALSE,
331,edward pennefather,FALSE,FALSE,
332,francis blackburne,FALSE,FALSE,
333,philip cecil crampton,TRUE,,
334,michael o'loghlen,FALSE,FALSE,
335,duke of argyll,FALSE,FALSE,
336,lord robert grosvenor,TRUE,,
337,3rd lord foley,FALSE,FALSE,
338,4th lord foley,FALSE,TRUE,thomas henry foley
339,earl of gosford,FALSE,FALSE,
340,viscount anson[i],FALSE,TRUE,thomas william anson
