return_id,election_id,name_on_return,party,member_id,unopposed,votes,winner
26284,13060,Mr Isaac Hawkins Browne,,656,0,237,1
26285,13060,St George Knudson,,,0,57,0
26595,13237,Mr William Wickham,,698,1,,1
27446,13727,Sir David Carnegie,,798,1,,1
26073,12944,Mr Edward May,,1916,1,,1
29838,14986,Lord William Russell,,1092,1,,1
29839,14986,Sir John Frederick,,1093,1,,1
26499,13178,Mr George Watson,,685,1,,1
26500,13178,Mr John Baker,,686,1,,1
27532,13780,Mr John Pitt,,806,1,,1
27533,13780,Mr Henry Thomas Howard,,807,1,,1
26124,12969,Mr George Baillie,,634,1,,1
26380,13110,Lord Charles Fitzroy,,669,1,,1
26381,13110,Mr Frederick William Hervey,,668,1,,1
26129,12974,Mr John Wharton,,636,0,735,1
26130,12974,Mr Napier Christie-Burton,,635,0,690,1
26131,12974,Mr John Bacon Sawrey Morritt,,,0,626,0
26145,12979,Mr Miles Peter Andrews,,637,1,,1
26424,13140,Lord Henry Petty,,676,1,,1
26425,13140,Mr Joseph Jekyll,,675,1,,1
26167,12991,Mr James Milnes,,641,1,,1
26168,12991,Mr John Benn-Walsh,,640,1,,1
27547,13787,Mr George Cranfield Berkeley,,808,1,,1
27548,13787,Mr Henry Charles Somerset,,809,1,,1
25880,12820,Mr John Courtenay,,606,1,,1
25881,12820,Sir Philip Francis,,607,1,,1
28736,14398,Mr Whitshed Keene,,949,0,62,1
28737,14398,Mr James Cockburn,,,0,21,0
26391,13116,Sir John Sinclair,,670,1,,1
29854,14993,Mr Charles Lennox,,1094,1,,1
29855,14993,Mr John Fuller,,1095,1,,1
26397,13122,Mr Edward Paget,,671,1,,1
29867,14999,Mr William Dundas,,1096,1,,1
26402,13127,Sir Robert Williams,,672,1,,1
27426,13712,Sir William Erskine,,795,1,,1
27561,13795,Sir Christopher Hawkins,,810,1,,1
27562,13795,Mr Benjamin Hobhouse,,811,1,,1
26407,13132,Mr John Inglett-Fortescue,,674,0,41,1
26408,13132,Mr Paul Orchard,,673,0,36,1
26409,13132,Mr John Brown,,,0,16,0
26410,13132,Mr William Ogilvie,,,0,7,0
26227,13029,Mr William Alexander Madocks,,649,0,355,1
26228,13029,Mr Thomas Fydell,,648,0,316,1
26229,13029,Mr John Ogle,,,0,165,0
29793,14964,Mr Charles Elphinstone Fleeming,,1085,0,38,1
29794,14964,Sir Robert Abercromby,,,0,26,0
27606,13810,Sir Robert John Buxton,,814,1,,1
27607,13810,Sir Nathaniel Holland,,815,1,,1
29876,15008,Mr John Charles Villiers,,1097,1,,1
28843,14458,Mr Isaac Corry,,965,1,,1
27618,13817,Mr John Henry Loft,,817,0,146,1
27619,13817,Mr Ayscoghe Boucherett,,816,0,144,1
27620,13817,Mr William Mellish,,1204,0,143,0
27621,13817,Mr Robert Sewell,,,0,143,0
28878,14480,Mr Thomas William Coke,,970,0,4317,1
28879,14480,Sir Jacob Henry Astley,,971,0,3612,1
28880,14480,Hon John Wodehouse,,,0,3515,0
28852,14464,Mr Thomas Brooke,,966,1,,1
28853,14464,Mr Peter Patten,,967,1,,1
26438,13149,Mr Robert Manners,,678,1,,1
26439,13149,Mr Edward Finch,,677,1,,1
28863,14470,Sir Robert Barclay,,968,1,,1
28864,14470,Mr Charles Chapman,,969,1,,1
28632,14333,Mr Samuel Smith,,1580,1,,1
28633,14333,Mr George Smith,,937,1,,1
29910,15027,Lord Robert Spencer,,1103,1,,1
29911,15027,Mr Richard Fitzpatrick,,1102,1,,1
27650,13831,Sir Thomas Troubridge,,821,1,,1
27651,13831,Mr Thomas Jervis,,820,1,,1
26450,13155,Mr William Pitt,,679,1,,1
26451,13155,Mr George Henry Fitzroy,,680,1,,1
27638,13825,Mr Thomas Williams,,11035,0,190,1
27639,13825,Mr Owen Williams,,818,0,185,1
27640,13825,Mr Anthony Bushby Bacon,,,0,45,0
27365,13682,Mr Charles Thellusson,,789,0,315,1
27366,13682,Mr Patrick Crauford Bruce,,790,0,249,1
27367,13682,Mr Humphrey Howorth,,1410,0,183,0
28930,14506,Mr Charles Grey,,978,1,,1
28931,14506,Mr Thomas Richard Beaumont,,979,1,,1
26471,13165,Lord Charles Henry Somerset Manners,,682,0,1942,1
26472,13165,Mr Charles Philip Yorke,,681,0,1436,1
26473,13165,Hon. Thomas Brand,,,0,559,0
26312,13071,Mr George Barclay,,660,0,182,1
26313,13071,Sir Evan Nepean,,661,0,135,1
26314,13071,Mr Charles Sturt,,,0,103,0
26092,12958,Mr George Vansittart,,630,1,,1
26093,12958,Mr Charles Dundas,,631,1,,1
28894,14487,Mr Henry Peirse,,972,1,,1
